gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TMEM70	258047	417	25	154644	47208	175896	3	0	0	50	75	31098396	2.553624e-03	6.257311e-01
PTOV1	1673246	205	37	250404	75936	292068	3	1	0	50	59	24788568	2.572878e-03	6.257311e-01
PUS10	635242	350	33	334488	83328	933660	5	0	3	18	33	17048976	2.600614e-03	6.257311e-01
HIST1H2BE	398813	636	53	73752	22764	39816	2	0	0	50	45	19406436	2.695474e-03	6.257311e-01
TPK1	123029	998	-17	153720	38808	932904	3	1	1	2	2	2125956	2.748129e-03	6.257311e-01
KIAA1522	1339617	195	26	610596	223776	243432	4	0	1	41	68	24719604	2.768212e-03	6.257311e-01
BBS10	563668	507	-10	428316	120540	77616	3	0	0	50	51	31053540	2.858023e-03	6.257311e-01
POP7	1483965	336	46	80808	26796	45108	2	0	0	50	108	33617892	2.872889e-03	6.257311e-01
AOAH	247838	600	15	439320	102480	963396	5	0	0	7	8	5301996	2.912883e-03	6.257311e-01
ST6GALNAC3	259709	989	-11	189336	49056	348264	3	0	0	10	3	4208232	2.958303e-03	6.257311e-01
PHLDA1	604083	438	17	233352	72072	31248	3	0	0	50	77	30405144	2.988996e-03	6.257311e-01
TPX2	890615	237	23	462588	119028	966924	5	0	0	6	0	2601900	2.993962e-03	6.257311e-01
PPM1F	471638	379	52	268968	82068	201852	4	0	1	50	74	24860304	3.018981e-03	6.257311e-01
CETP	842366	125	52	305424	83664	851508	4	0	1	4	3	2786448	3.030302e-03	6.257311e-01
ATM	415837	582	16	1898148	475440	2693880	13	1	2	10	12	8062740	3.035495e-03	6.257311e-01
PRKAR1B	543988	401	7	232680	66192	462420	3	1	2	17	31	12736164	3.053209e-03	6.257311e-01
LUZP2	1913	1282	-32	218988	54432	483084	5	0	3	18	54	10769472	3.065019e-03	6.257311e-01
PRPF38B	743461	225	9	332808	85764	215712	3	0	0	50	64	34254780	3.085197e-03	6.257311e-01
NPRL2	843769	206	51	235704	62412	515340	2	1	1	13	4	4840752	3.119307e-03	6.259187e-01
SNAPIN	1656449	183	40	80640	26460	197064	3	0	0	50	70	26229588	3.166021e-03	6.286051e-01
FOXF2	114944	481	14	255360	82068	76608	2	0	0	50	41	22560300	3.254011e-03	6.393453e-01
C2orf43	491470	393	16	200928	51576	362628	3	0	0	50	62	32282544	3.331922e-03	6.450774e-01
GRLF1	1201856	207	29	893004	246036	207144	7	1	0	7	6	3677352	3.373451e-03	6.450774e-01
PDX1	321222	612	38	162120	53592	16380	2	0	0	50	59	23949324	3.385784e-03	6.450774e-01
CAB39L	373856	343	50	211428	52164	405468	2	3	0	29	37	14938224	3.430825e-03	6.470626e-01
SGSH	674340	219	22	299292	89040	232092	3	0	1	50	56	26239500	3.489504e-03	6.470626e-01
NOXA1	1591716	213	30	288120	91896	259812	4	0	0	26	23	15450372	3.499119e-03	6.470626e-01
ADAMTS20	126632	906	-21	1187424	295344	1047312	8	1	1	11	4	4945416	3.611416e-03	6.613449e-01
ATP1A2	835734	386	23	614124	179928	1071000	5	4	2	36	65	29044680	3.757618e-03	6.760913e-01
CAMK4	192731	767	29	288960	79968	507276	4	0	1	37	43	24191580	3.763630e-03	6.760913e-01
GABRA4	104768	839	15	333648	93996	407736	4	0	0	14	5	6769056	3.804241e-03	6.769396e-01
CXorf66	66755	NaN	14	216720	59472	200844	4	0	0	50	66	29547168	3.930338e-03	6.883922e-01
OR6F1	191710	995	-32	176988	56616	24948	4	0	0	50	67	23364012	3.941595e-03	6.883922e-01
KIAA1549	482191	289	18	1129548	365064	519120	15	3	1	25	30	13744668	4.070303e-03	7.021233e-01
ATP6V1B1	504483	623	25	313320	88872	598248	3	3	0	50	110	27275052	4.203970e-03	7.021233e-01
GGCT	624959	400	36	116340	29568	246204	3	0	1	50	71	29995056	4.228053e-03	7.021233e-01
AMAC1L3	NaN	NaN	NaN	188580	69216	44352	4	0	0	50	154	57716820	4.241145e-03	7.021233e-01
FABP2	218603	824	-1	83580	20496	193032	3	0	0	48	83	26374068	4.267622e-03	7.021233e-01
SERPINB7	159863	441	-11	234444	60648	353556	4	1	1	18	29	11006856	4.403053e-03	7.021233e-01
ADAMTSL4	1475649	152	31	642432	206304	637308	8	1	2	33	49	21592368	4.417020e-03	7.021233e-01
LARP4B	378329	515	9	447300	128016	740880	5	1	3	19	18	8555652	4.430255e-03	7.021233e-01
ADIPOR1	421206	389	30	226716	64596	379008	3	0	0	17	15	9690072	4.473163e-03	7.021233e-01
ERBB3	2693176	215	38	836892	238140	1337112	9	0	3	8	9	5857572	4.484165e-03	7.021233e-01
OR2D2	403341	827	6	175644	57708	21168	4	0	0	50	63	25711980	4.488377e-03	7.021233e-01
LGI1	488719	532	4	340872	88032	383544	3	1	1	39	57	24172092	4.528309e-03	7.021233e-01
TMBIM4	243040	696	5	145152	42084	236628	3	0	0	50	60	29091972	4.586470e-03	7.021233e-01
ZNF284	533136	558	-35	368004	85092	215712	4	0	0	30	15	10176936	4.625648e-03	7.021233e-01
BCL9	NaN	NaN	NaN	826476	258384	375984	4	1	0	26	42	18886728	4.635116e-03	7.021233e-01
SELP	294306	478	6	511560	133056	870156	6	3	2	29	44	17088288	4.653655e-03	7.021233e-01
HGFAC	547964	412	46	390852	119196	333900	4	0	1	50	67	30350376	4.678778e-03	7.021233e-01
TADA1	258555	773	-7	204456	56616	473004	3	0	1	7	5	5155752	4.690252e-03	7.021233e-01
MBD6	1347795	303	44	559104	211008	434196	6	0	0	5	5	3877524	4.880760e-03	7.248889e-01
OR2B11	272980	927	-14	181356	58800	17136	4	0	0	50	60	26235720	4.996799e-03	7.363252e-01
PARD3B	51582	973	-1	725676	208236	1082592	6	2	3	24	38	12216456	5.135376e-03	7.410822e-01
SMTN	726734	202	32	570444	180768	624456	5	0	2	35	40	18574668	5.179879e-03	7.410822e-01
PCMTD2	442044	440	43	218652	60060	260820	2	1	0	25	41	14565348	5.223380e-03	7.410822e-01
GDF5	1521661	167	53	287112	93408	117684	4	0	0	50	46	30707712	5.224931e-03	7.410822e-01
UBN2	519766	345	29	793884	242340	849996	4	0	0	3	4	6546708	5.225529e-03	7.410822e-01
NDRG4	678092	320	0	243684	67788	483084	3	1	2	11	23	7208544	5.326015e-03	7.496963e-01
RARG	1677275	191	49	301812	87780	365652	2	0	0	14	9	7114884	5.408463e-03	7.545202e-01
COLEC12	587478	572	14	447888	122892	528444	5	0	0	23	15	12296928	5.481080e-03	7.545202e-01
SDHAF2	1404745	245	58	103404	26376	279972	3	0	2	6	4	3078432	5.503990e-03	7.545202e-01
NSUN3	85578	1378	-9	206556	56280	656712	5	0	0	1	0	932904	5.520294e-03	7.545202e-01
STRA13	3814891	211	28	40404	11508	203112	2	0	0	50	66	18757872	5.577917e-03	7.569113e-01
HTR3B	182706	555	9	269556	73164	432684	2	0	2	28	51	20015352	5.840853e-03	7.811581e-01
SIN3A	775031	296	47	773388	209916	1118376	4	0	0	6	0	3415020	5.870213e-03	7.811581e-01
MYCBP	524940	458	24	66948	16212	174888	2	0	0	50	58	25322388	5.946009e-03	7.811581e-01
PPP1R13L	1269856	191	31	480732	158088	392112	7	2	1	13	25	7963620	5.963086e-03	7.811581e-01
COL19A1	93520	947	15	707700	206808	2222892	8	1	3	9	8	6913200	5.970468e-03	7.811581e-01
ATAD2	544857	225	30	856128	222684	1305360	6	0	0	4	1	2989560	6.005085e-03	7.811581e-01
SETD2	593886	365	46	1540644	419160	966672	9	1	8	7	11	4096848	6.050403e-03	7.816624e-01
PNLIPRP1	128161	704	-16	290640	75264	663012	2	0	0	4	0	2639700	6.116566e-03	7.848345e-01
PHF20	1341124	136	44	624624	158340	1090908	6	1	0	8	12	5655216	6.184617e-03	7.882043e-01
FAM98B	97405	643	-15	279972	79884	276696	2	0	0	22	21	12336072	6.279241e-03	7.948929e-01
DAB1	22463	1004	-12	341544	91896	1353744	3	0	0	6	10	6396684	6.336281e-03	7.967662e-01
C1orf175	652892	415	15	789264	234360	970704	7	0	0	18	14	12823608	6.441106e-03	8.045838e-01
BEST4	574317	191	43	280728	86184	227304	3	0	0	3	0	2469768	6.520443e-03	8.073414e-01
SPRED1	96035	704	-21	274848	67620	228816	2	0	0	50	77	28710444	6.548788e-03	8.073414e-01
CSPG5	888051	200	35	313656	98616	190260	5	0	0	22	29	11994528	6.740771e-03	8.184189e-01
NAALADL2	58421	1139	-15	485100	130284	663768	4	0	0	5	0	4193112	6.755648e-03	8.184189e-01
SLC6A11	225460	545	30	386232	106428	742644	4	2	0	43	58	29389752	6.791802e-03	8.184189e-01
CNBD1	148474	1191	-31	276108	65352	182952	3	0	1	50	61	18742164	6.812203e-03	8.184189e-01
C1S	2495896	211	52	420420	111552	633528	3	0	1	15	7	8013348	6.870431e-03	8.188677e-01
MYLIP	159273	596	27	270228	72996	267624	3	0	1	50	99	28881720	6.902766e-03	8.188677e-01
KRT1	1441383	464	29	382032	114156	412020	3	2	0	22	24	10726548	7.183629e-03	8.429797e-01
AGAP2	1160849	344	39	720720	240660	772380	7	0	1	24	21	13264356	7.274109e-03	8.429797e-01
FAM3D	497368	503	38	143808	35364	452088	2	0	0	12	9	6705300	7.317799e-03	8.429797e-01
OR2W5	272980	927	-14	184632	58548	63504	3	0	0	50	60	26235720	7.372443e-03	8.429797e-01
RGS6	101461	823	26	302064	71652	936180	5	1	5	22	41	12644772	7.464052e-03	8.429797e-01
SLC23A2	476336	464	37	391356	114912	854532	3	1	0	23	20	11235588	7.485646e-03	8.429797e-01
CCDC28A	402265	482	22	166068	46872	259560	3	0	0	50	71	34528536	7.511393e-03	8.429797e-01
RBM10	819569	NaN	38	568848	157164	523908	4	0	2	6	9	3933804	7.552820e-03	8.429797e-01
TRNAU1AP	831495	183	26	181692	44604	442764	5	0	1	50	42	24785796	7.622038e-03	8.429797e-01
PIK3CA	401889	613	11	663096	165228	853272	9	0	0	0	0	1018500	7.654199e-03	8.429797e-01
MSMB	406207	579	41	79128	11340	250488	2	0	0	50	76	33331452	7.662472e-03	8.429797e-01
GOLGB1	300562	591	28	1995840	489888	1081080	15	3	0	18	22	9009672	7.668087e-03	8.429797e-01
CENPO	299133	374	39	182868	51744	536508	4	0	1	26	23	15117816	7.687016e-03	8.429797e-01
KDM5C	877207	NaN	80	947856	281652	680400	5	2	1	21	28	9640764	7.809148e-03	8.476201e-01
COL25A1	157338	437	-5	424200	127932	1901340	5	0	8	16	35	9572640	7.819208e-03	8.476201e-01
ILK	424523	491	17	281736	73836	510300	2	2	0	50	67	29445948	7.993960e-03	8.614067e-01
C1orf125	495704	593	-2	647976	154644	1749132	6	1	2	12	19	9654708	8.045967e-03	8.614067e-01
ZNHIT6	277976	411	-20	295176	69972	367920	3	0	1	34	33	20980176	8.083395e-03	8.614067e-01
JUNB	1937827	226	32	194208	68880	13860	3	1	0	6	5	2370564	8.231986e-03	8.649835e-01
AMACR	270768	793	4	313404	63336	306180	4	0	0	21	32	13194636	8.240175e-03	8.649835e-01
C15orf33	239848	385	-11	326088	73836	1082844	2	0	2	16	20	11068932	8.277849e-03	8.649835e-01
STRN3	431319	370	14	488796	131628	853524	3	0	1	42	58	30695700	8.325257e-03	8.649835e-01
NOD2	294632	792	1	610764	187320	616140	7	0	0	11	12	7060956	8.346252e-03	8.649835e-01
SRPK1	761613	404	28	409500	101556	538776	3	0	2	27	49	21900648	8.407027e-03	8.656218e-01
ZNF131	506232	537	21	363132	89964	359604	2	0	1	50	64	30026556	8.444195e-03	8.656218e-01
GINS1	611174	335	-5	123564	31416	333648	3	1	0	20	38	14176848	8.532379e-03	8.699337e-01
PAFAH2	774988	221	31	241416	65772	497448	4	0	1	10	9	4457544	8.678071e-03	8.789737e-01
GYPC	176465	753	-3	79044	21504	140364	2	0	1	50	85	29625960	8.745088e-03	8.789737e-01
RUNX1T1	5155	1075	-30	367164	103068	719964	4	2	0	10	12	4100292	8.760844e-03	8.789737e-01
CBLL1	513169	515	28	293580	83412	235620	2	0	1	50	65	30252516	8.838461e-03	8.798397e-01
SLC25A43	655775	NaN	34	199416	63168	219492	2	0	0	50	55	32445084	8.889965e-03	8.798397e-01
GATA6	230941	437	-1	340536	116088	167580	4	1	0	17	25	9965928	9.022705e-03	8.798397e-01
RPS14	1087686	188	71	91560	27888	223020	2	1	0	50	91	22271844	9.079784e-03	8.798397e-01
PSMF1	524116	527	14	164136	48552	621684	3	0	0	2	2	1675632	9.125849e-03	8.798397e-01
TRMT61B	481869	238	32	287280	80640	278208	6	2	0	46	66	23417520	9.135413e-03	8.798397e-01
PNMA2	194700	452	14	212604	63336	75348	4	0	0	50	52	30163140	9.145620e-03	8.798397e-01
DCAF5	680338	289	33	558012	162960	940716	3	0	2	14	10	10039764	9.176680e-03	8.798397e-01
WDR52	440896	672	24	1154412	285516	1091160	9	1	2	47	65	25669224	9.189291e-03	8.798397e-01
ECM1	1532790	163	43	325668	92400	591696	4	0	1	12	13	8438220	9.416742e-03	8.868243e-01
DEFB110	70183	1258	-7	72744	13944	118944	2	0	1	44	45	18778452	9.477385e-03	8.868243e-01
DCDC1	84163	938	-25	217308	58128	390600	6	0	1	6	16	3294144	9.508247e-03	8.868243e-01
SMG6	1171119	368	30	849828	242340	1020600	7	3	0	8	4	5836488	9.515742e-03	8.868243e-01
MCCC1	275779	546	22	447468	119532	868644	3	0	1	32	40	19197276	9.581288e-03	8.868243e-01
C11orf54	290677	527	0	165648	42504	483084	3	0	0	5	5	2883888	9.634716e-03	8.868243e-01
SETD1B	NaN	NaN	NaN	1114176	357000	0	5	1	0	50	155	57960252	9.638050e-03	8.868243e-01
CYP39A1	113763	596	0	292740	73668	554652	4	0	2	20	19	10624404	9.638372e-03	8.868243e-01
ZC3HAV1	553735	243	29	546168	149100	751716	6	0	1	8	5	4604208	9.773834e-03	8.941540e-01
C11orf82	307255	371	0	601188	158088	238896	5	1	0	50	58	32751432	9.845304e-03	8.941540e-01
GGN	1467279	253	0	357504	138684	80640	3	0	0	34	41	11556720	9.928685e-03	8.941540e-01
AGXT2	243997	675	23	316680	85764	676116	2	0	2	50	80	34554240	9.930422e-03	8.941540e-01
KIAA0494	615653	417	20	304500	80556	526428	2	0	0	7	3	3340092	9.955060e-03	8.941540e-01
DDIT4L	193061	795	-8	115920	32760	92484	2	0	0	50	68	22107204	1.021099e-02	9.127477e-01
MEP1B	342655	617	11	434448	110880	458136	5	0	0	11	10	6534276	1.039888e-02	9.127477e-01
SEMA5A	45422	891	-2	656040	177828	1026144	4	3	2	24	27	13234788	1.042918e-02	9.127477e-01
PALM	1914670	200	23	230916	70476	214452	3	1	0	10	9	5297040	1.050288e-02	9.127477e-01
CCDC66	178940	477	24	595476	140616	725508	6	1	1	34	44	19985280	1.060472e-02	9.127477e-01
PRDM13	225399	799	2	401688	136584	153720	4	0	0	50	87	31115868	1.060611e-02	9.127477e-01
BAX	1927185	211	43	151536	45528	198576	2	0	0	13	14	7652400	1.069932e-02	9.127477e-01
PRPF4B	182705	353	18	617736	158928	655956	3	0	1	24	21	11991924	1.071174e-02	9.127477e-01
FAM165B	410767	518	61	38556	9072	123984	1	0	0	50	45	18741156	1.074411e-02	9.127477e-01
DAAM2	53428	914	26	653772	177828	515340	5	1	0	27	36	13331388	1.075123e-02	9.127477e-01
LASS2	1621279	172	30	235116	63756	482832	3	0	0	16	15	10917984	1.078622e-02	9.127477e-01
HECA	202042	674	13	321804	92484	131544	5	0	0	50	61	24668448	1.083054e-02	9.127477e-01
ANO1	763592	286	35	611436	159936	703836	5	0	4	50	59	26594316	1.083442e-02	9.127477e-01
ZFP36L2	227876	208	47	278712	96516	22932	3	1	0	50	68	22768452	1.084703e-02	9.127477e-01
ARMS2	252955	279	5	62748	20412	27216	2	0	0	50	72	29977836	1.093151e-02	9.127477e-01
TRPA1	19123	936	29	700476	172452	1093176	5	0	1	17	21	7749588	1.093633e-02	9.127477e-01
BEST1	2389859	185	53	403452	113652	433188	3	2	0	16	5	7243992	1.105645e-02	9.133918e-01
CSMD3	9197	1295	-29	2281356	608580	3262896	20	3	7	10	12	5507460	1.110252e-02	9.133918e-01
TMEM63A	924499	239	8	497196	136836	886032	4	1	1	29	34	14021448	1.114308e-02	9.133918e-01
OR5D14	4183	1091	-36	183288	54600	26964	5	0	0	50	50	17277960	1.123002e-02	9.133918e-01
OR11G2	371813	563	-29	199668	61404	1260	6	0	0	50	56	21604884	1.133410e-02	9.133918e-01
C1orf173	101813	1070	-14	920472	251076	643104	9	1	3	4	6	3445428	1.134477e-02	9.133918e-01
TRIM69	673122	428	36	306768	78540	271152	4	0	0	34	54	20445096	1.140518e-02	9.133918e-01
MTIF2	964970	349	25	445704	118272	610848	6	0	1	8	11	4207896	1.148716e-02	9.133918e-01
PWP1	122461	805	19	315252	78876	696024	4	0	0	13	17	9819264	1.156147e-02	9.133918e-01
SH2B1	1146511	221	56	468972	150948	336672	4	2	1	35	69	23020536	1.158541e-02	9.133918e-01
COX17	288657	595	42	40656	10248	60984	1	0	0	50	74	28112448	1.161925e-02	9.133918e-01
OR9K2	341315	828	-2	195132	58632	26208	2	1	0	5	4	2357040	1.164082e-02	9.133918e-01
CASP5	45234	626	-20	277536	70728	406728	5	0	1	34	33	13019244	1.165892e-02	9.133918e-01
PCCA	139575	733	33	453264	121044	1227240	3	0	0	5	2	3417036	1.169118e-02	9.133918e-01
IGSF11	197243	714	3	265944	80556	453600	4	0	1	12	22	10027752	1.170388e-02	9.133918e-01
PCDHB1	987049	724	-11	473424	146244	19152	4	0	0	50	36	18233628	1.181624e-02	9.133918e-01
UBE2Q1	1896659	403	41	261576	70812	727524	4	0	1	3	5	1726704	1.187677e-02	9.133918e-01
SERP1	503198	347	15	42924	9744	172368	1	0	1	32	58	23504964	1.192058e-02	9.133918e-01
KPNA1	413070	404	34	332724	87864	641340	3	0	2	22	22	12557832	1.195395e-02	9.133918e-01
SNX15	3209258	207	49	204372	62496	370944	2	0	0	50	59	28769748	1.201560e-02	9.133918e-01
LACTB	451944	230	36	327768	92568	197064	2	1	0	48	70	29682912	1.208943e-02	9.133918e-01
ALDH1A2	187239	674	-1	318108	87360	738864	4	0	3	26	31	13965084	1.215203e-02	9.133918e-01
TRIT1	996021	270	31	287028	77364	569520	2	2	0	50	80	29155560	1.220060e-02	9.133918e-01
ADAM17	691902	278	38	515844	126000	863604	3	1	1	22	33	16301124	1.221539e-02	9.133918e-01
PARP14	427462	423	47	1090740	288204	491400	7	0	0	5	2	2999136	1.222142e-02	9.133918e-01
KNDC1	318075	452	-11	1034628	317856	830844	7	0	4	26	26	14790720	1.226180e-02	9.133918e-01
RPL38	297367	535	-8	47040	11172	211932	1	0	0	50	71	23534364	1.227389e-02	9.133918e-01
EOMES	165387	429	1	401268	123144	256284	4	1	1	7	16	5069652	1.229994e-02	9.133918e-01
C2orf24	773232	177	36	242088	75684	530460	3	0	1	18	20	8549016	1.244334e-02	9.174168e-01
GRIK2	10349	1062	-25	587748	159180	794556	4	0	0	2	0	1966272	1.248711e-02	9.174168e-01
SPINK9	79210	459	-15	56532	12768	215712	1	0	0	50	72	27921012	1.250006e-02	9.174168e-01
KLF5	274388	328	28	269136	80136	183204	3	0	0	11	15	6354348	1.258971e-02	9.204148e-01
TGFBR2	80018	417	-9	359520	95844	381276	2	0	0	8	2	3136560	1.268949e-02	9.232976e-01
C2orf68	1158965	170	43	101472	28308	164052	2	0	1	50	66	23529744	1.274607e-02	9.232976e-01
SAT1	491139	NaN	46	109956	25116	169092	2	0	2	12	18	5685792	1.277599e-02	9.232976e-01
TNNC2	742720	180	48	104832	22428	238392	2	0	0	17	14	7211736	1.283543e-02	9.240532e-01
TAF5	545643	147	45	477204	138936	457128	5	1	0	18	24	11299260	1.291229e-02	9.260520e-01
