gene	bin
CSAG4	12158
ZNF594-DT	10159
LINC01502	6961
SYCE1L	10080
LOC100130964	6025
LINC02901	5160
LOC100130987	7802
SPATA48	5431
LOC100130992	7069
DNAH8-AS1	4637
LINC01135	244
CKMT2-AS1	4037
SRP14-DT	9558
DPP9-AS1	10804
ZBTB20-AS1	2492
BSPH1	10964
LINC01405	8579
WDR86-AS1	5823
TSTD1	567
CCDC183-AS1	6966
SNAP25-AS1	11052
NEMP2	1758
ZNF503-AS2	7275
MIR181A1HG	737
ANKRD63	9560
LOC100131257	5238
LOC100131289	4609
RDM1P5	10266
LINC00605	9483
C11orf91	7680
SP9	1684
EOLA1-DT	12145
CD300LD	10414
DBIL5P	10141
LOC100131496	11195
LINC00887	2852
FKSG29	9038
CCDC18-AS1	400
LOC100131626	8024
LOC100131635	2821
ZNF236-DT	10771
FAM83A-AS1	6392
USP30-AS1	8571
ARMCX4	11945
PET100	10815
AHI1-DT	5053
UBE2DNL	11889
CADM3-AS1	558
INSYN2B	4439
KRTAP25-1	11347
LOC100132078	7991
C2CD4D-AS1	527
FAM240A	2203
PHKA2-AS1	11638
EHBP1-AS1	1241
NDUFA6-DT	11522
CLUHP3	9943
LINC01512	4659
LOC100132356	3894
KRTAP4-9	10275
CLDN24	3674
FAM99B	7538
KRTAP4-7	10275
FGD5P1	2055
PGAM1P5	8510
ZRANB2-AS1	300
BSN-DT	2215
PAXIP1-AS2	5836
DCAF13P3	9605
FILNC1	5073
KDM4A-AS1	177
TNIP2P1	11737
MSC-AS1	6159
DPH3P1	11265
SHISAL2B	3972
SMIM9	12163
LINC00856	7288
GUSBP19	4124
CXorf51B	12133
LINC01203	11613
SBF1P1	6085
CBR1-AS1	11373
RSU1P2	7151
HOXA-AS3	5330
LINC02171	2882
MRPL23-AS1	7539
LY6E-DT	6483
UXT-AS1	11766
LINC01816	1274
MAP3K14-AS1	10292
UBOX5-AS1	11020
KDM7A-DT	5780
LINC01119	1168
LOC100134317	10920
LOC100134368	9830
NDUFB2-AS1	5783
JMJD7	9566
PLA2G4B	9566
HDAC5	10287
C17orf99	10430
LOC100144595	1593
LINC00029	11266
LINC01056	11266
EPHA5-AS1	3146
LINC00930	9786
KLLN	7327
PDCD6IP	2145
KRTAP20-4	11348
RNU4ATAC	1451
RNU6ATAC	6954
SCARNA9L	11644
PDCD6	3705
TEX36-AS1	7498
PATE3	8057
PEG3-AS1	10999
DBIL5P2	1242
BCL2L10	9610
SNAR-B2	10973
SNAR-C2	10964
SNAR-C4	10964
SNAR-E	10960
SNAR-H	1309
SNAR-I	2836
SNAR-C3	10964
SNAR-D	10973
SNAR-G2	10969
SRRM5	10947
ERICH4	10940
EPOP	10265
BCL2L11	1411
MIR1224	2806
MIR1225	9838
TOMM6	4650
HECTD2-AS1	7343
LINC00426	8724
LINC00092	6785
DNMBP-AS1	7381
DCTN1-AS1	1292
SH2B3	8581
RAMP2-AS1	10282
TPT1-AS1	8793
LINC02418	8664
C5orf52	4383
C2CD4D	527
PPIAP30	7039
ZFHX4-AS1	6181
PP12613	3396
FLJ16779	11267
LINC01634	11426
LOC100192426	10488
CDH4	11258
GNE	6653
HCN4	9706
MANCR	6991
KMT2E-AS1	5622
LINC01004	5621
INSL5	281
FRAT1	7369
PCED1B-AS1	8293
TROAP	8302
LOC100240734	8323
LOC100240735	8323
MED16	10788
PIGK	328
LOC100268168	4453
LINC01432	11107
LINC00653	11092
LINC00940	8108
ARHGEF33	1131
LINC00899	11540
ERVV-2	10985
MEF2B	10861
AIRN	5165
CMC4	12164
LOC100272217	6939
EOLA2-DT	12147
BCDIN3D-AS1	8304
LOC100286922	1954
VPS13A-AS1	6704
LOC100287010	1389
MCPH1-DT	5883
LOC100287036	10135
MIF4GD-DT	10417
EML2-AS1	10955
SH3RF3-AS1	1409
LINC01630	10653
ZNF729	10872
TIPARP-AS1	2680
MANSC4	8221
LINC00941	8235
PRSS46P	2203
SMKR1	5733
ADPGK-AS1	9704
LINC00173	8605
LOXL1-AS1	9709
SELENOKP3	4977
MTHFD2P1	2407
ANKRD66	4672
AP4B1-AS1	488
LINC00630	11949
LOC100287792	11151
LINC00582	881
LOC100287846	6048
LINC00994	2281
TTC34	7
LGALS8-AS1	903
LOC100287944	8559
LINC01699	656
WTAPP1	7952
GS1-279B7.1	675
LDLRAD4-AS1	10510
LOC100288123	10792
LNCOC1	6482
HMGN3-AS1	4802
KRTAP22-2	11348
KRTAP21-3	11349
NCAM1-AS1	8000
ERVMER34-1	3088
LMCD1-AS1	2029
IL10RB-DT	11360
MTRNR2L7	7137
DDX11L9	9829
FOXL3-OT1	5212
PAN3-AS1	8714
LINC02894	6261
TMEM239	11019
CLDN34	11598
SRGAP3-AS3	2034
B3GALT9	6896
MIA2-AS1	9193
CRIM1-DT	1120
MOXD2P	5789
SLC25A25-AS1	6929
FAM95C	6664
GNG12-AS1	286
TMEM225B	5602
LINC00624	517
LOC100289230	4118
TMEM238L	10183
MAN1B1-DT	6968
LOC100289361	2618
UBAC2-AS1	9038
KCTD21-AS1	7846
MCF2L-AS1	9100
LOC100289473	11014
LOC100289495	5194
KCNIP2-AS1	7389
LOC100289511	9330
LINC01848	4167
ZNF783	5816
LINC00942	8106
ZNF587B	11004
RNF213-AS1	10438
NHEG1	5060
CDH5	10038
MIR1284	2315
MIR1200	5371
MIR1468	11805
MIR1265	7036
MIR320B1	501
MIR1538	10052
MIR1276	9756
MIR1275	4615
MIR1288	10206
MIR1471	1946
MIR1470	10845
MIR1915	7066
MIR302F	10556
MIR1182	878
MIR1287	7374
MIR1289-2	4274
MIR320C1	10516
MIR1252	8436
MIR1914	11270
MIR1292	11018
MIR1537	900
MIR1913	5195
MIR1246	1694
MIR1912	12000
MIR1247	9476
MIR1249	11536
MIR1296	7221
MIR548N	1702
MIR1298	12001
MIR1256	7262
MIR1229	4480
MIR1185-1	9474
MIR1231	750
MIR1205	6413
MIR1278	711
MIR2113	4884
MIR1322	5897
MIR1257	11261
MIR320D2	12111
MIR1206	6413
MIR1258	1709
MIR1307	7396
MIR1207	6414
MIR1295A	611
MIR1279	8390
MIR1272	9667
MIR1204	6413
MIR1297	8831
MIR1243	3358
MIR1976	103
MIR548I4	5808
MIR548F1	678
MIR320C2	10528
MIR1234	6488
MIR1306	11431
MIR1228	8336
MIR1266	9611
MIR1283-2	10988
MIR1253	10149
MIR1185-2	9474
MIR1909	10792
MIR1203	10300
MIR1181	10825
MIR1277	12016
MIR1827	8531
MIR1245A	1751
MIR1293	8306
MIR1911	12001
MIR2110	7446
MIR2053	6343
MIR1238	10826
MIR1250	10442
MIR1226	2208
MIR1179	9769
MIR1260A	9363
MIR1281	11518
MIR103B1	4433
MIR548F5	8748
MIR1304	7912
MIR1301	1070
MIR1197	9473
MIR1264	12000
MIR1323	10988
MIR1180	10214
MIR1539	10645
MIR1469	9804
MIR2052	6172
MIR1910	10120
MIR1908	7778
MIR1283-1	10988
MIR2054	3413
MIR1305	3669
MIR1178	8619
MIR1262	287
MIR1237	7789
MIR1208	6414
MIR103B2	11024
MIR1227	10794
MIR1251	8519
MIR1973	3373
RASAL2-AS1	642
LINC00882	2458
BABAM2-AS1	1082
LINC00184	895
FTX	11844
TMED7-TICAM2	4193
PCNA-AS1	11029
FAS-AS1	7333
SNORA80B	1002
NCRUPAR	4017
TSNAX-DISC1	880
ZEB2-AS1	1547
SLC25A5-AS1	12020
LOC100303749	3978
PET117	11089
PITPNA-AS1	10144
NDUFAF4P1	9597
OTX2-AS1	9272
MIR320B2	848
MIR548K	7813
MIR548F2	1857
MIR548M	5512
MIR548H2	2658
MIR670	7725
MIR759	8824
MIR2117	10285
MIR2278	6779
MIR663B	1491
MIR762	9939
MIR764	12000
MIR2114	12147
MIR548Q	6832
MIR2276	8697
MIR711	2211
MIR548H4	9686
MIR2116	9642
MIR2277	4094
MIR761	213
MIR548F4	5808
MIR320D1	8772
MIR548J	11454
MIR449C	3930
MIR548G	2424
HOTTIP	5330
SAP25	5605
GCSHP3	1828
TRPC5OS	11988
LOC100335030	8302
SNORA70F	1640
CSN1S2BP	3165
LINC00102	11566
CHAF1A	10803
SNORA70G	8387
SNORA70D	10057
MACROD2-AS1	11074
TMED11P	2871
LOC100379224	10949
BOK-AS1	1990
SNORA70E	7868
NPPA-AS1	47
MIR181A2HG	6914
BACE1-AS	8019
GRIK1-AS2	11344
PARP2	9109
ZBED6	759
PARP3	2225
CDH6	3843
TOM1L1	10331
ZNF33BP1	7138
HMGXB4	11493
LINC02532	4923
MIR4300	7863
MIR3128	1697
MIR3160-2	7738
MIR4274	2898
MIR3160-1	7738
MIR4287	5972
MIR4319	10624
MIR3191	10962
MIR3188	10857
MIR3183	10142
MIR1193	9474
MIR3119-1	606
MIR4317	10479
MIR3074	6781
MIR514B	12135
MIR4316	10426
MIR3182	10109
MIR3187	10788
MIR4301	8001
MIR3123	924
MIR4318	10590
MIR4285	5612
MIR3136	2303
MIR4292	6966
MIR4306	9040
MIR4265	1409
MIR4320	10648
MIR3115	89
MIR378C	7522
MIR4270	2062
MIR3152	6574
MIR3117	280
MIR4297	7516
MIR4279	3846
MIR3192	11091
MIR3148	5981
MIR3162	7769
MIR3170	9033
MIR3120	615
MIR4325	11239
MIR4280	4064
MIR4264	1316
MIR3194	11213
MIR4327	11347
MIR3157	7364
MIR3154	6930
MIR4260	783
MIR4294	7158
MIR3140	3533
MIR4302	8212
MIR4255	148
MIR3190	10962
MIR3158-1	7388
MIR4288	5975
MIR3193	11124
MIR4311	9673
MIR3129	1752
MIR4295	7439
MIR500B	11772
MIR3200	11473
MIR320E	10960
MIR4253	88
MIR3065	10442
MIR3201	11550
MIR3167	8063
MIR548X	9869
MIR4303	8521
MIR4322	10824
MIR4291	6777
MIR3127	1358
MIR4261	1001
MIR4330	12151
MIR4304	8632
MIR4328	11863
MIR3143	4606
MIR3153	6758
MIR4275	2992
MIR3142	4396
MIR3147	5459
MIR4305	8768
MIR4272	2295
MIR3189	10857
MIR3186	10443
MIR4326	11268
MIR3122	794
MIR4284	5493
MIR3141	4369
MIR4271	2214
MIR3165	7819
MIR4309	9480
MIR3131	1887
MIR4268	1891
MIR4281	4468
MIR4290	6760
MIR3150A	6263
MIR4263	1082
MIR4277	3711
MIR3146	5296
MIR4251	9
MIR2909	10260
MIR4312	9686
MIR3169	8863
MIR3178	9839
MIR4252	23
MIR4256	482
MIR3185	10303
MIR4324	10970
MIR4323	10944
MIR3173	9446
MIR4314	10172
MIR4308	9263
MIR3125	1012
MIR3156-1	7151
MIR3155A	6998
MIR3134	6856
MIR1260B	7924
MIR3151	6299
MIR3130-1	1831
MIR3175	9788
MIR4262	1008
MIR4257	521
MIR3199-2	11461
MIR4278	3736
MIR3145	5067
MIR3130-2	1831
MIR3184	10235
MIR4282	4775
MIR4329	11992
MIR3119-2	606
MIR3138	2906
MIR3177	9836
MIR4310	9566
MIR3196	11267
MIR4289	6755
MIR4307	9138
MIR4258	540
MIR4298	7539
MIR3197	11397
MIR3198-1	11425
MIR4299	7579
MIR4266	1409
MIR4254	124
MIR3126	1269
MIR4321	10794
MIR3121	652
MIR3158-2	7388
MIR3199-1	11461
MIR4313	9716
MIR2355	1833
MIR3176	9831
MIR3132	1889
MIR4296	7495
MIR4276	3633
MIR4269	1980
IGLL5	11439
TOM1	11493
KLRF2	8140
SH2D3C	6928
SH2D3A	10813
MAMLD1	12147
MICOS10P1	8734
MTRNR2L1	10221
MTRNR2L2	4035
MTRNR2L3	11240
MTRNR2L4	9843
MTRNR2L5	7185
MTRNR2L6	5791
MTRNR2L8	7574
MTRNR2L10	11789
CST8	11114
RANBP9	4547
DNAJB6	5847
LINC00881	2682
THAP9-AS1	3222
BAALC-AS1	6299
LOC100499194	1417
USP2-AS1	8028
LINC00674	10385
LINC00673	10404
CCDC180	6789
SUGT1P4-STRA6LP	6789
LOC100499489	7070
CDH7	10719
SLC17A4	4602
SRSF3P2	6267
MIR3659	152
MIR3685	8509
MIR3919	2692
MIR374C	11845
MIR3917	100
MIR23C	11643
MIR3620	865
MIR3621	6968
MIR3677	9838
MIR3646	11182
MIR3616	11194
MIR3649	8107
MIR3612	8656
MIR3945	3681
MIR3609	5599
MIR3910-1	6767
MIR3920	7946
MIR3650	3874
MIR3660	4077
MIR3909	11493
MIR3614	10340
MIR3619	11540
MIR3943	5399
MIR3912	4446
MIR3658	587
MIR3924	7193
MIR3907	5823
MIR3914-1	5487
MIR3606	1751
MIR3926-2	5902
MIR3678	10418
MIR3652	8548
MIR3922	8551
MIR3664	7816
MIR642B	10955
MIR3689A	6958
MIR3615	10415
MIR3916	949
MIR3682	1200
MIR3918	5160
MIR3605	131
MIR3671	273
MIR548Z	8369
MIR3939	5197
MIR3622A	5971
MIR3921	2426
MIR3618	11431
MIR3665	8939
MIR3936	4269
MIR3941	7484
MIR3684	3295
MIR3913-2	8391
MIR3926-1	5902
MIR3622B	5971
MIR3911	6927
MIR3938	2243
MIR3679	1499
MIR3668	5075
MIR3662	5051
MIR3688-1	3563
MIR550B1	5344
MIR3925	4626
MIR676	11831
MIR3940	10811
MIR3935	9991
MIR3663	7460
MIR3666	5665
MIR3692	5154
MIR3691	4508
MIR3928	11475
MIR3910-2	6767
MIR3913-1	8391
MIR3942	9537
MIR3661	4277
MIR3689B	6958
MIR3150B	6263
MIR3613	8814
MIR3908	8635
MIR3944	7532
MIR3714	2068
MIR3610	6363
MIR3180-5	9838
MIR548Y	9231
MIR3914-2	5487
CCDC179	7630
IQCJ-SCHIP1	2691
LINC01539	10674
TEX48	6868
PRKAG2-AS1	5825
PCAT19	10941
ISM1-AS1	11067
RBM26-AS1	8947
SLIT1-AS1	7368
LINC01095	3504
LOC100505549	10681
LINC00578	2775
LINC00672	10266
LINC00838	7120
LRRC3C	10270
LINC00919	9972
POU2F2-AS1	10944
GTF3C2-AS1	1079
LINC01133	562
MALINC1	4304
FGD5-AS1	2059
RAD51-AS1	9561
DIAPH1-AS1	4310
LINC00967	6134
DCST1-AS1	540
RRS1-DT	6135
STARD4-AS1	4175
NAPA-AS1	10963
LINC00888	2802
SH3BP5-AS1	2061
LINC01094	3203
LOC100505715	10948
LOC100505716	1083
LINC01592	6146
KRTAP9-7	10276
MIR4458HG	3743
ITGB2-AS1	11413
KRTAP16-1	10276
C10orf95-AS1	7392
LINC01364	373
LINC01541	10746
LOC100505782	10276
OSER1-DT	11181
PBX1-AS1	582
SNHG18	3748
CARD8-AS1	10966
LINC02582	10754
STK4-DT	11184
LINC01532	10887
SH3PXD2A-AS1	7398
LOC100505841	4223
ROPN1L-AS1	3752
APTR	5503
LINC00920	10038
LINC01088	3204
CEBPZOS	1124
MAGI2-AS3	5511
SLIT2-IT1	2953
TMEM161B-DT	4069
LOC100505912	2962
LOC100505918	598
LINC01549	11287
ADD3-AS1	7426
LINC01304	972
LINC00645	9141
ENO1-AS1	34
LOC100505978	8560
SMIM31	3589
PPP5D1P	10959
APELA	3589
LOC100506023	620
CRPPA-AS1	5280
PTOV1-AS1	10972
LINC00989	3207
GAS5-AS1	623
LRRC72	5281
LINC01005	5462
RNASEH1-DT	970
SMG1P7	10053
DACT3-AS1	10959
RBFADN	10786
LOC100506071	9156
LINC02749	7547
DDX19A-DT	10053
LINC02275	3612
ZDHHC12-DT	6932
LINC02431	3617
LOC100506124	1645
TTC21B-AS1	1646
TMEM35B	139
LINC01568	10064
LOC100506178	5309
LINC00963	6935
LARGE-AS1	11486
LOC100506207	4523
MIR210HG	7533
PAXBP1-AS1	11358
LINC01093	3681
RAB30-DT	7869
LL22NC01-81G9.3	11500
KRBOX1	2186
LOC100506274	988
LINC00958	7586
HOTAIRM1	5329
GPRC5D-AS1	8153
LOC100506321	9309
LINC00649	11363
INKA2-AS1	479
FZD4-DT	7886
PHACTR3-AS1	11250
LINC01426	11367
RPH3AL-AS1	10140
LINC02398	8186
GAS6-DT	9104
LOC100506403	11370
ELOVL2-AS1	4535
LINC00871	9223
PANTR1	1391
LOC100506422	6608
CBR3-AS1	11374
LINC00648	9231
SPAG5-AS1	10228
RASSF8-AS1	8213
SRD5A3-AS1	3100
TMEM147-AS1	10917
LOC100506472	11511
LOC100506474	1013
EGFLAM-AS2	3873
DSCAM-AS1	11393
LOC100506497	5338
SPTY2D1OS	7611
NECTIN3-AS1	2477
THEGL	3105
C16orf95	10127
PTPRN2-AS1	5850
PPP1R26-AS1	6960
LOC100506639	3894
PXN-AS1	8621
LINC02876	10322
LCMT1-AS2	9922
DDX11-AS1	8236
NRAV	8622
AA06	10247
SACS-AS1	8693
IQCH-AS1	9679
LOC100506688	3708
PCAT6	755
LINC00327	8694
EBLN3P	6657
ALOX12-AS1	10167
NUP50-DT	11536
LOC100506730	73
FAM170B-AS1	7159
SLFN12L	10256
CASP12	7962
AFF1-AS1	3240
MIR497HG	10167
LINC00629	12085
OR7E37P	8775
IGSF11-AS1	2513
TRG-AS1	5377
TSPOAP1-AS1	10346
HOXD-AS2	1692
LINC01354	894
ECE1-AS1	82
TMEM30A-DT	4785
LINC01132	895
MYLK-AS1	2534
GAS1RR	6747
LINC00840	7146
IQCF4P	2225
GIHCG	8339
TTN-AS1	1703
LINC00933	9751
ELOA3DP	10633
LUARIS	5401
MAGOH2P	10183
LINC00665	10920
PRKG1-AS1	7170
ELOA-AS1	92
PTPRG-AS1	2272
GFY	10970
MRLN	7204
TMCC1-DT	2561
PITRM1-AS1	6985
TUNAR	9449
TPBGL	7833
LOC100507053	3295
LRCOL1	8675
MELTF-AS1	2863
PSMD6-AS2	2280
TEX26-AS1	8727
CLIP1-AS1	8630
DLG1-AS1	2864
PITPNM2-AS1	8633
GIMD1	3328
ADAMTS9-AS2	2284
ASAP1-IT2	6423
PRC1-AS1	9779
LINC00707	7001
SPART-AS1	8752
LINC01792	1804
LOC100507156	5951
BOLA3-DT	1291
LINC01012	4608
SLFNL1-AS1	165
LINC02525	4499
SMLR1	5032
LINC02740	7719
LINC00943	8649
CHASERR	9788
RNF157-AS1	10421
VWA8-AS1	8778
MAMDC2-AS1	6672
SNHG16	10423
LOC100507250	8387
LINC01013	5038
MEG9	9474
STX18-AS1	2884
ZNF865	10994
TMEM44-AS1	2853
SMC5-DT	6672
ALKBH3-AS1	7726
ERVK13-1	9840
SMIM18	5984
LOC100507346	6782
LOC100507351	10427
ADGRL1-AS1	10840
LINC02882	8412
LOC100507384	7735
LOC100507389	2618
LINC01968	2854
SENCR	8071
LRP4-AS1	7740
C1QTNF1-AS1	10434
TMEM178B	5784
MKNK1-AS1	190
ZNF571-AS1	10925
LOC100507443	1837
CCDC28A-AS1	5068
DPH6-DT	9538
GRID1-AS1	7319
LOC100507472	9827
IDH1-AS1	1838
LINC01277	5088
SDCBP2-AS1	11012
EGFR-AS1	5454
LINC01569	9846
ARHGEF26-AS1	2668
THEG5	10899
STRIT1	2674
EPM2A-DT	5100
MAGOH-DT	219
RAB11B-AS1	10818
BHLHE40-AS1	2014
LINC01016	4614
TGFBR3L	10816
NAGPA-AS1	9850
LCT-AS1	1507
TRIM52-AS1	4486
LINC00837	7098
KRTAP9-6	10276
LINC00658	11030
LINC00968	6090
LOC100507634	228
LINC01606	6093
MARK2P9	7348
GMDS-DT	4495
CPB2-AS1	8796
SMC4	2697
GJC1	10290
LY75-CD302	1617
ARPC4-TTLL3	2036
MSANTD3-TMEFF1	6803
RBM14-RBM4	7799
CENPS-CORT	41
ATP5MF-PTCD1	5601
ABHD14A-ACY1	2226
CCDC169-SOHLH2	8751
RNF103-CHMP3	1348
SMIM35	8022
STIMATE-MUSTN1	2230
EPPIN-WFDC6	11187
ARPIN-AP3S2	9774
NT5C1B-RDH14	1039
CAHM	5181
INMT-MINDY4	5346
PHOSPHO2-KLHL23	1663
SEPT5-GP1BB	11430
FPGT-TNNI3K	315
BLOC1S5-TXNDC5	4521
EEF1E1-BLOC1S5	4521
RPL17-C18orf32	10645
TGIF2-RAB5IF	11146
GIMAP1-GIMAP5	5820
GJA9-MYCBP	156
MROH7-TTC4	225
PMF1-BGLAP	545
LHX4-AS1	652
TLCD4-RWDD3	408
BORCS7-ASMT	7394
TMX2-CTNND1	7761
SAA2-SAA4	7609
ARL2-SNX15	7792
HSPB2-C11orf52	7994
ST20-MTHFS	9734
BLOC1S1-RDH5	8330
POC1B-GALNT4	8482
FKBP1A-SDCBP2	11012
KLRC4-KLRK1	8142
ARMCX5-GPRASP2	11948
NEDD8-MDP1	9126
BCL2L2-PABPN1	9122
RPL36A-HNRNPH2	11945
CORO7-PAM16	9847
RAD51L3-RFFL	10254
RNASEK-C17orf49	10167
TMEM256-PLSCR3	10168
ZNF559-ZNF177	10821
RPS10-NUDT3	4616
ZNF816-ZNF321P	10985
HSPE1-MOB4	1790
CKLF-CMTM1	10039
SYNJ2BP-COX16	9333
CHURC1-FNTB	9308
MIA-RAB4B	10938
RAB4B-EGLN2	10938
ZNF625-ZNF20	10832
AP1M2	10826
NPHP3-ACAD11	2572
NDUFC2-KCTD14	7845
COMMD3-BMI1	7069
INO80B-WBP1	1293
MICOS10-NBL1	74
PIR-FIGF	11622
C8orf44-SGK3	6136
ZHX1-C8orf76	6392
RTEL1-TNFRSF6B	11269
ZNF670-ZNF695	948
